49535.5818,51874.4839,51879.9409,51939.5409,52167.9117,51836.3773,51590.2131,51217.5769,50790.0069,50311.6963,49801.7288,50168.8547,49082.9874,50614.8486,50942.7078,51212.6545,51328.9915,51535.8471,51869.2972,51824.0573
49473.4827,51819.0216,51820.9924,51880.9091,52108.1766,51776.8158,51529.8159,51153.9745,50725.798,50246.5899,49740.0279,50106.7796,49023.0136,50548.2559,50882.5966,51151.9117,51268.5135,51475.8902,51810.6242,51767.9542
49411.3859,51761.8164,51762.044,51822.2857,52048.4474,51717.2623,51469.4248,51090.3759,50661.5928,50181.4901,49678.3399,50044.7129,48963.0433,50481.6658,50822.4861,51090.8093,51208.0375,51415.9363,51751.9529,51711.8531
49349.2913,51702.9452,51703.0955,51763.6707,51988.7241,51657.7169,51409.0399,51026.781,50597.3913,50116.3971,49616.6649,49982.6546,48903.0763,50415.0784,50762.3764,51029.7078,51147.5632,51355.9855,51693.2834,51655.7541
49287.1988,51644.0741,51644.1471,51705.0643,51929.0068,51599.2281,51348.6612,50963.1899,50533.1936,50051.3108,49558.1674,49923.0864,48843.1127,50348.4937,50702.2674,50968.6073,51087.0909,51296.0378,51634.6156,51599.657
49225.1086,51585.2033,51585.1987,51646.4664,51869.2954,51542.4372,51288.2887,50899.6025,50468.9996,49986.2312,49503.0562,49866.1731,48783.1525,50282.8781,50642.1592,50907.5077,51026.6204,51236.0931,51575.9496,51543.5621
49163.0207,51526.3326,51526.2503,51587.877,51809.59,51485.6485,51227.9224,50836.019,50404.8094,49921.4687,49447.9459,49809.2602,48723.1958,50224.7625,50582.0517,50846.4091,50966.1518,51176.1516,51517.2854,51487.4692
49100.935,51467.4621,51467.3019,51529.2963,51749.8905,51428.8622,51167.5624,50772.4393,50340.623,49857.3629,49392.8363,49752.3476,48663.2426,50166.6473,50521.945,50785.3114,50905.685,51116.2132,51458.623,51431.3783
49038.8515,51408.5919,51408.3535,51470.7241,51690.1972,51372.0782,51107.2087,50708.8635,50276.4404,49793.2573,49337.7275,49695.4354,48603.2928,50108.5326,50461.839,50724.2147,50845.2202,51056.2779,51399.9623,51375.2896
48976.7703,51349.7218,51349.4051,51412.1606,51630.5098,51315.2965,51046.8612,50645.2915,50212.9343,49729.1519,49282.6195,49638.5235,48543.3464,50050.4185,50401.7338,50663.1189,50784.7573,50996.8488,51341.3035,51319.2029
48915.8858,51290.8519,51290.4568,51353.6058,51570.8285,51258.5171,50986.5201,50581.7233,50149.748,49665.0467,49227.5124,49581.612,48484.371,49992.3049,50341.6294,50602.0241,50724.2962,50937.8303,51282.6464,51263.1183
48856.9761,51231.9822,51231.5084,51295.0597,51511.1533,51201.74,50926.1854,50518.1591,50086.5616,49600.9417,49172.406,49524.7009,48426.9976,49934.1917,50281.5258,50540.9302,50663.8371,50878.8128,51223.9911,51207.0357
48795.8929,51173.1127,51172.5601,51236.5223,51451.4842,51144.9653,50865.8569,50454.5987,50023.3752,49536.8369,49116.5347,49467.3071,48368.0514,49876.0791,50221.4229,50479.8373,50603.3799,50819.7964,51165.3377,51150.9553
48734.3076,51114.2434,51113.6118,51177.9937,51391.8212,51088.1929,50805.5349,50391.0422,49960.1888,49472.7323,49058.759,49408.7124,48308.7441,49817.967,50161.3208,50418.7454,50542.9246,50760.7809,51106.686,51094.877
48672.727,51055.3743,51054.6635,51119.4738,51332.1644,51031.4229,50745.2193,50327.4897,49897.0024,49408.6279,49000.9862,49350.1197,48249.4428,49759.8554,50101.2195,50357.6545,50482.4712,50701.7664,51048.0362,51038.8008
48611.1509,50996.5054,50995.7152,51060.9628,51272.5138,50974.6553,50684.9102,50263.9411,49833.8161,49348.3775,48943.2165,49291.5289,48190.1475,49701.7443,50041.4662,50296.5645,50422.0198,50642.7528,50989.3882,50982.7267
48549.5795,50937.6366,50936.767,51002.4607,51212.8693,50917.89,50624.6075,50200.3965,49770.6297,49291.0976,48885.4497,49232.9401,48130.8582,49643.6338,49984.1141,50235.4755,50361.5703,50583.7403,50930.7421,50926.6548
48488.0127,50878.7681,50877.8187,50943.9674,51153.231,50861.1271,50564.3112,50136.8558,49707.4433,49233.8191,48827.686,49174.3533,48071.5751,49585.5238,49926.7633,50174.3875,50301.1228,50524.7288,50872.0978,50870.5849
48426.4505,50819.8998,50818.8705,50885.4831,51093.599,50804.3665,50504.0215,50073.3191,49644.257,49176.5421,48769.9253,49115.7684,48012.2981,49526.8666,49869.4136,50113.3005,50240.6772,50465.7183,50813.4553,50814.5173
48364.893,50761.0317,50759.9223,50827.0077,51033.9733,50747.6084,50443.7383,50009.7865,49581.0706,49119.2664,48712.1677,49057.1854,47953.0272,49467.6057,49812.0651,50052.2144,50180.2336,50406.7088,50754.8147,50758.4517
48303.3403,50702.1638,50700.974,50768.5413,50974.3538,50690.8527,50383.4617,49946.9295,49517.8842,49061.9921,48654.4131,48998.6045,47893.7625,49408.3456,49754.7178,49991.1294,50119.792,50347.7003,50696.176,50702.3884
48241.7922,50643.296,50642.0258,50710.0839,50914.7406,50634.0994,50323.1916,49889.8322,49454.6979,49004.7193,48596.6616,48940.0256,47834.5039,49349.0863,49697.3717,49930.0454,50059.3523,50288.6928,50637.5391,50646.3271
48180.2488,50584.4285,50583.0777,50651.6356,50855.1337,50577.3485,50262.9282,49832.735,49391.5115,48947.4479,48538.9132,48881.4486,47775.2515,49289.8277,49640.0268,49868.9623,49998.9146,50229.6864,50578.9041,50590.2681
48118.7102,50525.5612,50524.1295,50593.1963,50795.5332,50520.6,50202.6713,49775.6377,49328.3252,48890.1779,48481.1679,48822.8736,47716.0054,49230.57,49582.6831,49807.8803,49938.479,50170.6809,50520.2709,50534.2112
48057.1764,50466.6941,50465.1813,50534.7661,50735.9391,50463.854,50142.4211,49718.5404,49265.1388,48832.9093,48423.4257,48764.3007,47656.7655,49171.313,49525.3406,49746.7993,49878.0453,50111.6765,50461.6397,50478.1565
47995.6473,50407.8272,50406.2332,50476.345,50676.3513,50407.1104,50082.1776,49661.4431,49201.9524,48775.6422,48365.6865,48705.7298,47597.5319,49112.0569,49467.9992,49685.7193,49817.6136,50052.6731,50403.0103,50422.104
47934.1231,50348.9605,50347.2851,50417.9332,50616.7699,50350.3692,50021.9408,49604.3459,49138.7661,48718.3765,48307.9505,48647.1609,47538.3046,49052.8015,49410.6591,49624.6403,49757.184,49993.6708,50344.3829,50366.0537
47873.613,50290.094,50288.337,50359.5305,50557.195,50293.6305,49961.7106,49547.2486,49075.5797,48661.1122,48250.2177,48588.594,47480.0502,48993.547,49353.3202,49563.5623,49696.7564,49934.6694,50285.7573,50310.0056
47813.1899,50231.2277,50229.3889,50301.1371,50497.6266,50236.8943,49901.4873,49490.1514,49012.3934,48603.8494,48192.488,48530.0291,47421.8799,48934.2932,49295.9825,49502.4854,49636.3308,49875.6692,50227.1337,50253.9598
47752.7717,50172.3616,50170.4408,50242.7529,50438.0646,50180.1606,49841.2707,49433.0542,48949.2071,48546.5881,48134.7614,48471.4663,47363.716,48875.0403,49235.7783,49441.4095,49575.9072,49816.6699,50168.512,50197.9161
47692.3585,50113.4958,50111.4927,50184.378,50378.5091,50123.4293,49781.6753,49375.9569,48886.0207,48489.3282,48077.038,48412.9056,47305.5585,48815.7882,49174.3859,49380.3346,49515.4857,49757.6717,50109.8922,50141.8747
47632.1537,50054.6301,50052.5447,50126.0124,50318.9601,50066.7006,49724.5428,49318.8597,48822.8344,48432.0698,48024.3334,48360.1542,47247.5328,48756.5369,49112.9935,49319.6572,49455.0662,49698.6746,50051.2743,50085.8355
47578.3782,49995.7646,49993.5967,50067.6562,50259.4177,50009.9743,49667.4118,49261.7625,48759.648,48374.8129,47971.7068,48307.4927,47194.1201,48697.2864,49051.6012,49259.8139,49394.6488,49639.6785,49992.6584,50029.7985
47528.1184,49936.8994,49934.6486,50009.3094,50199.8819,49953.2506,49610.2824,49204.6653,48696.4852,48317.5574,47919.0847,48254.8362,47144.9658,48638.0368,48990.2088,49199.9708,49334.2335,49580.6835,49934.0445,49973.7638
47477.8602,49878.0344,49875.7006,49950.9721,50140.3527,49896.5293,49552.5057,49147.5681,48636.6955,48260.3034,47866.4671,48202.1845,47095.8145,48578.9868,48928.8164,49140.1278,49273.8202,49521.6895,49875.4324,49917.7313
47427.6035,49819.1695,49816.7526,49892.6441,50080.8301,49839.8106,49493.8214,49090.4709,48576.9058,48203.0509,47813.854,48149.5377,47046.6664,48521.7714,48867.4241,49080.2851,49213.4091,49462.6966,49816.8224,49861.7012
47377.3484,49760.3049,49757.8047,49834.3257,50021.3141,49783.0944,49435.1372,49033.3737,48517.1163,48145.7999,47761.2454,48096.8958,46997.5213,48464.5605,48806.0317,49020.4425,49153.0,49403.7048,49758.2143,49805.6732
47327.0949,49701.4405,49698.8567,49776.0168,49961.8048,49726.3808,49376.4529,48976.2765,48457.3268,48088.5504,47708.6413,48044.2589,46948.3794,48407.3541,48744.6394,48960.6,49092.593,49344.7141,49699.6082,49749.6476
47276.8429,49642.5763,49639.9088,49717.7175,49902.3022,49669.6697,49317.7687,48919.1793,48397.5373,48033.9913,47656.0418,47991.6269,46899.2406,48350.1522,48683.2471,48900.7578,49032.1881,49285.7244,49641.004,49693.6243
47226.5925,49583.7124,49580.9608,49659.4278,49842.8063,49612.9612,49259.0845,48862.0821,48337.748,47981.0224,47603.4468,47938.9998,46850.1049,48292.9549,48621.8547,48840.9157,48971.7235,49226.7358,49582.4019,49637.6032
47176.3438,49524.8486,49522.0129,49601.071,49783.3171,49556.2553,49200.4003,48804.985,48277.9587,47928.0554,47550.8564,47886.3778,46800.9724,48235.762,48560.4624,48781.0738,48916.8193,49167.7483,49523.8018,49581.5845
47126.0966,49465.9851,49463.065,49542.1364,49723.8347,49499.5519,49141.7162,48747.8878,48218.1695,47875.0902,47498.2706,47833.7607,46751.843,48178.5737,48499.0701,48721.2321,48864.6875,49108.7619,49465.2036,49525.5681
47075.851,49407.1217,49404.1171,49483.2017,49664.3591,49442.8511,49083.032,48690.7906,48158.3803,47822.127,47445.6894,47781.1487,46702.7168,48121.39,48437.6777,48661.3905,48812.5559,49049.7766,49406.6075,49469.554
47025.6069,49348.2586,49345.1693,49424.2671,49604.8903,49386.153,49024.3479,48633.6935,48098.5913,47769.1657,47393.1128,47728.5416,46653.5938,48064.2108,48376.2854,48601.5492,48760.4243,48990.7923,49348.0133,49413.5422
